Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
COM,Comoros,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,77.01,77.01,77.01,77.01,77.01,80.67,66.01,66.01,73.34,80.67,84.34,88.01,91.68,99.01,102.68,110.01,121.01,121.01,124.68,,,
CPV,Cape Verde,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,88.01,91.68,102.68,102.68,110.01,113.68,139.35,143.01,154.01,172.35,187.02,209.02,245.69,253.02,264.02,293.36,308.03,311.70,308.03,,,
CRI,Costa Rica,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2955.60,3336.97,3791.68,3953.03,5269.48,4866.11,4748.77,4987.12,5317.15,5522.50,5474.83,5760.86,6325.58,6626.27,6930.63,6941.63,7436.68,8118.74,8016.06,,,
CUB,Cuba,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,33340.36,29633.03,31338.18,29347.00,32199.93,25658.00,26959.78,24605.57,24444.22,25276.63,26039.37,25452.65,26090.71,25485.65,23985.85,24634.91,27168.80,26838.77,31418.86,,,
CUW,Curacao,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,253.02,275.03,278.69,289.69,289.69,289.69,286.03,286.03,286.03,282.36,454.71,454.71,469.38,480.38,495.05,517.05,535.38,539.05,557.38,,,
CYP,Cyprus,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,4653.42,4741.43,5276.81,5665.52,5812.20,5716.85,5936.87,6109.22,6640.94,6754.61,6849.96,6846.29,7022.31,7748.37,7334.00,7502.68,7788.71,8195.75,8555.11,,,
CZE,Czech Republic,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,139503.68,131964.33,127688.61,129470.77,132558.38,130090.49,125525.08,111931.51,124648.66,124406.64,120193.26,122378.79,122708.82,120735.98,122785.83,123944.60,116995.64,,,
DEU,Germany,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,55.01,960992.36,928326.72,911425.52,903622.14,901524.62,924014.33,900318.17,895532.74,824466.28,832100.97,855756.79,830909.20,835657.96,828521.98,809596.59,811881.13,787235.23,786659.51,,,
DJI,Djibouti,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,399.70,399.70,414.37,429.04,429.04,429.04,436.37,440.04,410.70,443.71,403.37,385.04,399.70,407.04,458.38,473.04,487.71,487.71,524.38,,,
DMA,Dominica,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,58.67,58.67,58.67,62.34,69.67,80.67,73.34,80.67,77.01,80.67,102.68,113.68,102.68,113.68,110.01,113.68,110.01,150.35,128.35,,,
DNK,Denmark,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,50421.25,61433.25,54528.29,57337.21,61194.90,55298.36,68704.91,57065.85,56068.43,50930.96,47252.96,49035.12,51899.05,55947.42,50476.26,46867.93,54418.28,49695.18,46024.52,,,
DOM,Dominican Republic,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,9570.87,10135.59,11206.35,11939.75,12676.82,16105.46,17546.60,18239.66,18683.37,18870.38,20117.16,20234.51,21499.62,21521.62,19999.82,19761.46,20813.89,21363.94,21616.97,,,
DZA,Algeria,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,78895.51,81458.74,82261.81,82474.50,86350.52,94692.94,96566.78,88195.02,107080.07,92118.71,87930.99,84293.33,90853.59,92533.08,89493.14,107127.74,107303.75,112741.92,111304.45,,,
EAP,East Asia & Pacific,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,3093880.16,3289803.58,3450813.00,3688790.23,3894961.10,4222032.12,4424809.18,4464694.64,4048977.45,4078685.16,4227383.15,4375765.62,4615783.23,5508464.63,6353836.84,6892794.56,7491421.64,7938274.13,8259297.80,,,
ECA,Europe & Central Asia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,3885852.61,3544417.83,3095729.97,3001413.43,2929376.07,2743439.33,2665719.98,2654211.36,2696711.29,2697657.05,2705846.24,2813025.14,2847614.05,2873631.77,2983959.16,3050860.82,3110254.41,,,
ECU,Ecuador,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,16835.20,16486.83,22302.69,24187.53,13637.57,22812.41,23890.51,18276.33,22229.35,21272.27,20942.24,23446.80,24689.91,26523.41,28657.61,29299.33,29842.05,30898.14,26824.11,,,
EGY,"Egypt, Arab Rep.",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,75943.57,78715.82,81264.39,93156.47,85312.76,95723.37,102030.61,108202.17,122243.11,125393.07,141326.18,125451.74,127193.56,158880.11,160581.60,174640.88,187504.71,199220.78,210320.79,,,
EMU,Euro area,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1649668.43,2718904.69,2655681.74,2587669.89,2581736.68,2647915.03,2703605.76,2661160.24,2712190.21,2589925.09,2612638.49,2677408.71,2674075.41,2735824.02,2752241.18,2735853.36,2717613.70,2684247.67,2633269.03,,,
ERI,Eritrea,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,183.35,297.03,348.37,528.05,590.39,619.72,608.72,630.72,605.06,726.07,770.07,766.40,561.05,579.39,414.37,,,
ESP,Spain,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,227592.36,235080.37,245098.61,226954.30,244658.57,257229.05,254328.45,264460.37,274683.97,282384.67,294441.77,297833.74,314525.92,321097.19,339428.52,353462.13,350037.15,358236.56,329285.60,,,
EST,Estonia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,23028.76,18628.36,18661.36,16754.52,18808.04,18613.69,17143.23,15474.74,15559.08,15984.45,15471.07,17553.93,17839.96,17462.25,16945.21,19952.15,18291.00,,,
ETH,Ethiopia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,3017.94,2984.94,2966.60,5163.14,3003.27,2152.53,3729.34,4275.72,5027.46,5075.13,5830.53,4308.73,4481.07,4946.78,5196.14,5489.50,5995.55,6560.26,7106.65,,,
FIN,Finland,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,50941.96,54891.32,49126.80,51935.72,59412.73,52328.09,61385.58,60083.80,56988.85,55423.04,52141.07,56424.13,61077.55,68888.26,66970.42,54605.30,66075.67,63923.14,56512.14,,,
FJI,Fiji,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,817.74,674.73,733.40,773.74,828.74,887.41,920.42,759.07,729.73,832.41,861.75,1122.10,858.08,1657.48,1888.51,1635.48,1565.81,1459.47,1254.11,,,
FRA,France,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,399028.27,427667.54,397037.09,389105.37,369457.58,393289.42,408126.10,379486.83,409094.19,371309.42,365559.56,385808.74,380447.58,387147.19,389706.76,391826.28,382281.08,374283.36,376985.94,,,
FRO,Faeroe Islands,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,623.39,594.05,660.06,597.72,520.71,634.39,652.73,656.39,663.73,671.06,656.39,660.06,667.39,674.73,674.73,682.06,689.40,696.73,707.73,,,
FSM,"Micronesia, Fed. Sts.",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.01,62.34,62.34,,,
GAB,Gabon,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,4844.11,1477.80,2130.53,3281.97,3351.64,3857.68,3534.99,3545.99,1631.82,1437.46,1052.43,1782.16,1778.50,1334.79,1481.47,1785.83,1782.16,1976.51,2471.56,,,
GBR,United Kingdom,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,570218.50,593808.31,587453.40,567523.26,563775.58,564523.65,580680.45,554215.71,554138.71,535550.68,543662.09,550552.38,531942.35,540636.81,545719.27,542473.98,543273.38,529621.14,522855.53,,,
GEO,Georgia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,15335.39,9952.24,6083.55,2302.88,4066.70,4437.07,4961.45,4345.40,4536.08,3769.68,3388.31,3773.34,3927.36,4734.10,5496.83,6028.55,5203.47,,,
GHA,Ghana,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,3931.02,4044.70,4096.04,4664.42,5071.46,5427.16,5757.19,6395.25,6409.92,6560.26,6299.91,6919.63,7414.67,7601.69,7279.00,7007.64,9350.85,9636.88,8591.78,,,
GIB,Gibraltar,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,95.34,106.34,91.68,333.70,399.70,348.37,194.35,121.01,311.70,322.70,333.70,344.70,344.70,355.70,366.70,377.70,392.37,407.04,421.71,,,
GIN,Guinea,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1056.10,1074.43,1074.43,1103.77,1228.45,1250.45,1272.45,1279.78,1243.11,1272.45,1279.78,1298.12,1323.79,1342.12,1342.12,1360.46,1360.46,1389.79,1393.46,,,
GMB,"Gambia, The",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,190.68,198.02,198.02,209.02,209.02,216.35,216.35,216.35,234.69,256.69,275.03,282.36,315.36,315.36,322.70,322.70,337.36,396.04,410.70,,,
GNB,Guinea-Bissau,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,253.02,256.69,260.36,278.69,278.69,282.36,286.03,308.03,216.35,245.69,198.02,198.02,209.02,249.36,256.69,264.02,275.03,286.03,282.36,,,
GNQ,Equatorial Guinea,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,121.01,201.69,216.35,102.68,36.67,132.01,117.34,293.36,168.68,473.04,454.71,3094.95,4979.79,6017.55,4679.09,4712.10,4752.43,4796.44,4814.77,,,
