Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GUY,Guyana,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,1.57,1.55,1.45,1.46,1.84,2.04,2.10,2.20,2.26,2.26,2.16,2.06,2.10,2.05,1.97,2.03,2.04,2.03,2.03,,,
HIC,High income,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,10.83,11.92,11.91,12.12,12.16,12.13,12.35,12.37,12.21,12.11,12.28,12.12,12.12,12.26,12.37,12.32,12.20,12.16,11.94,,,
HKG,"Hong Kong SAR, China",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,4.85,5.02,5.76,5.95,5.21,5.14,4.56,4.75,6.00,6.47,6.09,5.66,5.48,5.95,5.66,5.95,5.62,5.77,5.53,,,
HND,Honduras,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.53,0.54,0.60,0.54,0.61,0.70,0.69,0.71,0.78,0.78,0.81,0.90,0.94,1.02,1.09,1.11,1.04,1.26,1.19,,,
HRV,Croatia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,3.68,3.54,3.63,3.77,4.12,4.22,4.54,4.50,4.44,4.67,4.93,5.30,5.19,5.20,5.22,5.49,5.26,,,
HTI,Haiti,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.14,0.14,0.12,0.09,0.04,0.12,0.14,0.17,0.15,0.16,0.16,0.18,0.20,0.19,0.22,0.22,0.22,0.25,0.25,,,
HUN,Hungary,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,6.07,6.12,5.66,5.80,5.61,5.81,6.08,6.01,5.93,5.90,5.61,5.60,5.52,5.83,5.67,5.74,5.68,5.55,5.44,,,
IDN,Indonesia,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.81,0.96,1.06,1.13,1.13,1.13,1.25,1.36,1.01,1.13,1.21,1.34,1.39,1.41,1.49,1.48,1.47,1.59,1.73,,,
IMY,Isle of Man,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,,,,,,,,,,,,,,,,,,,,
IND,India,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.81,0.85,0.89,0.91,0.94,0.99,1.06,1.08,1.09,1.15,1.17,1.17,1.17,1.20,1.25,1.29,1.36,1.43,1.53,,,
IRL,Ireland,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,8.68,9.39,8.81,8.78,9.16,9.11,9.62,9.95,10.27,10.68,10.76,11.32,11.05,10.68,10.62,10.39,10.12,10.19,9.85,,,
IRN,"Iran, Islamic Rep.",EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,4.14,4.17,4.34,3.96,5.05,4.77,4.71,4.69,5.01,4.93,5.19,5.38,5.58,6.06,6.42,6.58,6.98,7.09,7.45,,,
IRQ,Iraq,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,2.89,2.54,3.21,3.38,3.69,3.73,3.23,3.08,3.16,3.06,2.98,3.42,3.41,3.47,3.68,3.53,3.55,3.43,3.41,,,
ISL,Iceland,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,8.13,7.85,7.25,7.55,7.55,7.24,8.19,7.74,7.67,7.45,7.70,7.37,7.54,7.49,7.65,7.43,7.35,7.51,7.02,,,
ISR,Israel,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,7.20,6.93,8.10,8.58,8.73,9.78,9.56,10.86,10.51,10.15,9.97,10.21,9.61,9.73,9.28,8.54,9.33,5.13,5.15,,,
ITA,Italy,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,7.48,7.65,7.62,7.44,7.25,7.70,7.53,7.60,7.76,7.68,7.83,7.85,7.86,8.13,8.09,8.04,7.94,7.74,7.44,,,
JAM,Jamaica,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.33,3.40,3.34,3.45,3.51,3.91,4.06,4.20,3.81,3.80,3.99,4.08,3.94,4.08,4.06,3.82,4.54,5.19,4.54,,,
JOR,Jordan,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,3.28,2.76,3.29,3.10,3.36,3.23,3.28,3.23,3.16,3.11,3.23,3.25,3.35,3.38,3.64,3.89,3.74,3.80,3.69,,,
JPN,Japan,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,8.86,8.88,9.05,8.90,9.40,9.44,9.59,9.53,9.17,9.46,9.61,9.46,9.55,9.69,9.86,9.69,9.64,9.79,9.46,,,
KAZ,Kazakhstan,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,,,15.90,13.54,12.39,10.54,9.03,8.45,8.30,7.80,8.58,9.95,10.23,10.32,11.47,11.70,12.55,14.69,15.12,,,
KEN,Kenya,EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons),0,1,0.25,0.20,0.22,0.25,0.25,0.28,0.33,0.29,0.34,0.33,0.33,0.29,0.24,0.20,0.22,0.24,0.26,0.26,0.27,,,
