"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","FIN","Finland",50941.96,54891.32,49126.8,51935.72,59412.73,52328.09,61385.58,60083.8,56988.85,55423.04,52141.07,56424.13,61077.55,68888.26,66970.42,54605.3,66075.67,63923.14,56512.14,"欧洲和中亚"
"二氧化碳排放总量","FJI","Fiji",817.74,674.73,733.4,773.74,828.74,887.41,920.42,759.07,729.73,832.41,861.75,1122.1,858.08,1657.48,1888.51,1635.48,1565.81,1459.47,1254.11,"东亚和太平洋地区"
"二氧化碳排放总量","FRA","France",399028.27,427667.54,397037.09,389105.37,369457.58,393289.42,408126.1,379486.83,409094.19,371309.42,365559.56,385808.74,380447.58,387147.19,389706.76,391826.28,382281.08,374283.36,376985.94,"欧洲和中亚"
"二氧化碳排放总量","FRO","Faeroe Islands",623.39,594.05,660.06,597.72,520.71,634.39,652.73,656.39,663.73,671.06,656.39,660.06,667.39,674.73,674.73,682.06,689.4,696.73,707.73,"欧洲和中亚"
"二氧化碳排放总量","FSM","Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.01,62.34,62.34,"东亚和太平洋地区"
"二氧化碳排放总量","GAB","Gabon",4844.11,1477.8,2130.53,3281.97,3351.64,3857.68,3534.99,3545.99,1631.82,1437.46,1052.43,1782.16,1778.5,1334.79,1481.47,1785.83,1782.16,1976.51,2471.56,"撒哈拉以南非洲"
"二氧化碳排放总量","GBR","United Kingdom",570218.5,593808.31,587453.4,567523.26,563775.58,564523.65,580680.45,554215.71,554138.71,535550.68,543662.09,550552.38,531942.35,540636.81,545719.27,542473.98,543273.38,529621.14,522855.53,"欧洲和中亚"
"二氧化碳排放总量","GEO","Georgia",NA,NA,15335.39,9952.24,6083.55,2302.88,4066.7,4437.07,4961.45,4345.4,4536.08,3769.68,3388.31,3773.34,3927.36,4734.1,5496.83,6028.55,5203.47,"欧洲和中亚"
"二氧化碳排放总量","GHA","Ghana",3931.02,4044.7,4096.04,4664.42,5071.46,5427.16,5757.19,6395.25,6409.92,6560.26,6299.91,6919.63,7414.67,7601.69,7279,7007.64,9350.85,9636.88,8591.78,"撒哈拉以南非洲"
"二氧化碳排放总量","GIB","Gibraltar",95.34,106.34,91.68,333.7,399.7,348.37,194.35,121.01,311.7,322.7,333.7,344.7,344.7,355.7,366.7,377.7,392.37,407.04,421.71,"欧洲和中亚"
"二氧化碳排放总量","GIN","Guinea",1056.1,1074.43,1074.43,1103.77,1228.45,1250.45,1272.45,1279.78,1243.11,1272.45,1279.78,1298.12,1323.79,1342.12,1342.12,1360.46,1360.46,1389.79,1393.46,"撒哈拉以南非洲"
"二氧化碳排放总量","GMB","Gambia, The",190.68,198.02,198.02,209.02,209.02,216.35,216.35,216.35,234.69,256.69,275.03,282.36,315.36,315.36,322.7,322.7,337.36,396.04,410.7,"撒哈拉以南非洲"
"二氧化碳排放总量","GNB","Guinea-Bissau",253.02,256.69,260.36,278.69,278.69,282.36,286.03,308.03,216.35,245.69,198.02,198.02,209.02,249.36,256.69,264.02,275.03,286.03,282.36,"撒哈拉以南非洲"
"二氧化碳排放总量","GNQ","Equatorial Guinea",121.01,201.69,216.35,102.68,36.67,132.01,117.34,293.36,168.68,473.04,454.71,3094.95,4979.79,6017.55,4679.09,4712.1,4752.43,4796.44,4814.77,"撒哈拉以南非洲"
